population,poverty_count,household_income,per_capita_income,zipcode,poverty_rate
25881.0,7258.0,22517.0,30693.0,94102,28.043738649974884
23907.0,5877.0,43364.0,40126.0,94103,24.582758187978417
211.0,37.0,48750.0,84811.0,94104,17.53554502369668
5553.0,293.0,163949.0,144416.0,94105,5.2764271564919865
27856.0,3139.0,114439.0,71298.0,94107,11.268667432510052
13709.0,3497.0,35427.0,47563.0,94108,25.50878984608651
55519.0,8438.0,60722.0,58033.0,94109,15.198400547560295
72128.0,9952.0,82111.0,46951.0,94110,13.797692990239574
3496.0,335.0,89722.0,86071.0,94111,9.582379862700229
82726.0,8569.0,71625.0,25842.0,94112,10.358291226458428
31397.0,2312.0,114689.0,79583.0,94114,7.363760868872823
33782.0,5048.0,76952.0,67897.0,94115,14.942868983482327
45157.0,4739.0,83407.0,41533.0,94116,10.494496977212835
41568.0,4863.0,94479.0,58310.0,94117,11.69890300230947
40292.0,4466.0,82857.0,56817.0,94118,11.08408617095205
42104.0,4156.0,72756.0,44128.0,94121,9.870796123883716
57369.0,5596.0,81768.0,41196.0,94122,9.754396973975492
24500.0,1295.0,112650.0,94338.0,94123,5.285714285714286
35309.0,7815.0,50146.0,21890.0,94124,22.133167181171938
19576.0,1002.0,131351.0,63176.0,94127,5.118512464241929
66.0,44.0,,,94128,66.66666666666667
2787.0,119.0,143320.0,71987.0,94129,4.2698241837100825
2654.0,1069.0,37500.0,15959.0,94130,40.27882441597588
26908.0,1860.0,96889.0,62735.0,94131,6.912442396313364
31080.0,5542.0,69223.0,31418.0,94132,17.83140283140283
27970.0,5189.0,50485.0,45147.0,94133,18.552020021451554
38815.0,5015.0,56716.0,24712.0,94134,12.920262785005797
5219.0,797.0,82195.0,62385.0,94158,15.271124736539567
